Date,Time,Station,Temperature,Humidity,Pressure,Wind_Speed,Wind_Direction_Deg,Wind_Direction_Label,Rainfall
2026-04-22,22:55:27,Uppal SPCB,27.74,32.0,1006.0,1.79,169.0,S,0.0
2026-04-22,22:55:27,Zoo Park SPCB,27.65,61.0,1006.0,2.57,150.0,SE,0.0
2026-04-23,22:56:35,Balanagar SPCB,23.47,30.0,1006.0,3.27,254.0,W,0.0
2026-04-23,22:56:35,HITEC City,23.16,31.0,1006.0,3.17,266.0,W,0.0
2026-04-23,22:56:35,IDA Pashamylaram SPCB,29.5,32.0,1006.0,2.82,271.0,W,0.0
2026-04-23,22:56:35,Sanathnagar SPCB,23.4,30.0,1006.0,3.27,254.0,W,0.0
2026-04-23,22:56:35,US Consulate,23.25,31.0,1006.0,3.13,270.0,W,0.0
2026-04-23,22:56:35,Uppal SPCB,23.74,31.0,1006.0,3.04,247.0,SW,0.0
2026-04-23,22:56:35,Zoo Park SPCB,23.65,68.0,1006.0,2.06,270.0,W,0.0
2026-04-24,22:50:18,Balanagar SPCB,25.47,28.0,1007.0,1.89,215.0,SW,0.0
2026-04-24,22:50:18,HITEC City,25.16,29.0,1007.0,2.32,215.0,SW,0.0
2026-04-24,22:50:18,IDA Pashamylaram SPCB,29.35,30.0,1007.0,2.69,212.0,SW,0.0
2026-04-24,22:50:18,Sanathnagar SPCB,25.4,28.0,1007.0,1.89,215.0,SW,0.0
2026-04-24,22:50:18,US Consulate,25.25,29.0,1007.0,2.46,214.0,SW,0.0
2026-04-24,22:50:18,Uppal SPCB,25.74,32.0,1007.0,0.93,201.0,S,0.0
2026-04-24,22:50:18,Zoo Park SPCB,25.65,65.0,1007.0,2.57,170.0,S,0.0
2026-04-25,22:48:18,Balanagar SPCB,27.47,41.0,1007.0,2.88,179.0,S,0.0
2026-04-25,22:48:18,HITEC City,27.16,43.0,1007.0,3.01,183.0,S,0.0
2026-04-25,22:48:18,IDA Pashamylaram SPCB,28.91,43.0,1007.0,3.06,182.0,S,0.0
2026-04-25,22:48:18,Sanathnagar SPCB,27.4,41.0,1007.0,2.88,179.0,S,0.0
2026-04-25,22:48:18,US Consulate,27.25,43.0,1007.0,3.06,184.0,S,0.0
2026-04-25,22:48:18,Uppal SPCB,27.74,44.0,1007.0,2.37,177.0,S,0.0
2026-04-25,22:48:18,Zoo Park SPCB,27.65,69.0,1007.0,2.06,0.0,N,0.0
2026-04-26,22:50:27,Balanagar SPCB,26.47,35.0,1005.0,4.6,210.0,SW,0.0
2026-04-26,22:50:27,HITEC City,26.16,36.0,1005.0,5.04,208.0,SW,0.0
2026-04-26,22:50:27,IDA Pashamylaram SPCB,29.31,38.0,1005.0,5.05,199.0,S,0.0
2026-04-26,22:50:27,Sanathnagar SPCB,26.4,35.0,1005.0,4.6,210.0,SW,0.0
2026-04-26,22:50:27,US Consulate,26.25,37.0,1005.0,5.11,206.0,SW,0.0
2026-04-26,22:50:27,Uppal SPCB,26.74,37.0,1005.0,3.83,216.0,SW,0.0
